DateTime,Temperature,Humidity,WindSpeed,Seasons,Holiday,Count
2017-12-01 0:00,-5.2,37,2.2,Winter,No Holiday,254
2017-12-01 1:00,-5.5,38,0.8,Winter,No Holiday,204
2017-12-01 2:00,-6,39,1,Winter,No Holiday,173
2017-12-01 3:00,-6.2,40,0.9,Winter,No Holiday,107
2017-12-01 4:00,-6,36,2.3,Winter,No Holiday,78
2017-12-01 5:00,-6.4,37,1.5,Winter,No Holiday,100
2017-12-01 6:00,-6.6,35,1.3,Winter,No Holiday,181
2017-12-01 7:00,-7.4,38,0.9,Winter,No Holiday,460
2017-12-01 8:00,-7.6,37,1.1,Winter,No Holiday,930
2017-12-01 9:00,-6.5,27,0.5,Winter,No Holiday,490
2017-12-01 10:00,-3.5,24,1.2,Winter,No Holiday,339
2017-12-01 11:00,-0.5,21,1.3,Winter,No Holiday,360
2017-12-01 12:00,1.7,23,1.4,Winter,No Holiday,449
2017-12-01 13:00,2.4,25,1.6,Winter,No Holiday,451
2017-12-01 14:00,3,26,2,Winter,No Holiday,447
2017-12-01 15:00,2.1,36,3.2,Winter,No Holiday,463
2017-12-01 16:00,1.2,54,4.2,Winter,No Holiday,484
2017-12-01 17:00,0.8,58,1.6,Winter,No Holiday,555
2017-12-01 18:00,0.6,66,1.4,Winter,No Holiday,862
2017-12-01 19:00,0,77,1.7,Winter,No Holiday,600
2017-12-01 20:00,-0.3,79,1.5,Winter,No Holiday,426
2017-12-01 21:00,-0.8,81,0.8,Winter,No Holiday,405
2017-12-01 22:00,-0.9,83,1.5,Winter,No Holiday,398
2017-12-01 23:00,-1.3,84,1,Winter,No Holiday,323
2017-12-02 0:00,-1.8,87,1.1,Winter,No Holiday,328
2017-12-02 1:00,-2.2,86,0.6,Winter,No Holiday,308
2017-12-02 2:00,-2.9,86,1.5,Winter,No Holiday,262
2017-12-02 3:00,-3.5,81,2.2,Winter,No Holiday,167
2017-12-02 4:00,-3.8,79,2,Winter,No Holiday,89
2017-12-02 5:00,-4,79,1.5,Winter,No Holiday,79
2017-12-02 6:00,-4.3,82,2.1,Winter,No Holiday,70
2017-12-02 7:00,-4.4,81,2.5,Winter,No Holiday,146
2017-12-02 8:00,-4.2,79,2.1,Winter,No Holiday,219
2017-12-02 9:00,-2.9,68,1.6,Winter,No Holiday,328
2017-12-02 10:00,-0.4,57,1.6,Winter,No Holiday,334
2017-12-02 11:00,1.9,49,1.8,Winter,No Holiday,388
2017-12-02 12:00,4.3,41,1.3,Winter,No Holiday,479
2017-12-02 13:00,6,36,1.8,Winter,No Holiday,606
2017-12-02 14:00,7.3,35,1.3,Winter,No Holiday,611
2017-12-02 15:00,7.6,41,2.3,Winter,No Holiday,589
2017-12-02 16:00,6.4,48,2.6,Winter,No Holiday,618
2017-12-02 17:00,6,51,2.5,Winter,No Holiday,572
2017-12-02 18:00,5.5,53,1.5,Winter,No Holiday,489
2017-12-02 19:00,5,52,2.3,Winter,No Holiday,385
2017-12-02 20:00,4.6,51,1.2,Winter,No Holiday,359
2017-12-02 21:00,4.1,55,1.2,Winter,No Holiday,377
2017-12-02 22:00,3.5,54,1.5,Winter,No Holiday,354
2017-12-02 23:00,4,56,1,Winter,No Holiday,366
2017-12-03 0:00,4,58,1.4,Winter,No Holiday,342
2017-12-03 1:00,3.9,69,1.7,Winter,No Holiday,227
2017-12-03 2:00,3.3,79,1.4,Winter,No Holiday,228
2017-12-03 3:00,3.4,71,1.6,Winter,No Holiday,117
2017-12-03 4:00,3.5,73,1,Winter,No Holiday,76
2017-12-03 5:00,3.9,75,1.9,Winter,No Holiday,32
2017-12-03 6:00,3.4,86,2.5,Winter,No Holiday,13
2017-12-03 7:00,3.1,91,1.2,Winter,No Holiday,22
2017-12-03 8:00,3.2,92,1.8,Winter,No Holiday,85
2017-12-03 9:00,3.5,91,1.8,Winter,No Holiday,152
2017-12-03 10:00,4.4,89,2.2,Winter,No Holiday,200
2017-12-03 11:00,5.1,87,1.4,Winter,No Holiday,273
2017-12-03 12:00,5.8,85,1.7,Winter,No Holiday,333
2017-12-03 13:00,6.8,81,1.9,Winter,No Holiday,495
2017-12-03 14:00,7.6,76,1.2,Winter,No Holiday,563
2017-12-03 15:00,8,73,1.6,Winter,No Holiday,621
2017-12-03 16:00,7.6,77,1.6,Winter,No Holiday,598
2017-12-03 17:00,6.7,82,1.5,Winter,No Holiday,545
2017-12-03 18:00,6,84,1.9,Winter,No Holiday,443
2017-12-03 19:00,5.7,85,1.7,Winter,No Holiday,422
2017-12-03 20:00,5.2,87,1.4,Winter,No Holiday,397
2017-12-03 21:00,4.7,87,1.2,Winter,No Holiday,385
2017-12-03 22:00,4.3,89,1.8,Winter,No Holiday,350
2017-12-03 23:00,3.9,90,1.3,Winter,No Holiday,303
2017-12-04 0:00,4.2,88,0.6,Winter,No Holiday,285
2017-12-04 1:00,4.3,87,0.5,Winter,No Holiday,186
2017-12-04 2:00,4.4,87,1.8,Winter,No Holiday,112
2017-12-04 3:00,3.6,85,2.3,Winter,No Holiday,65
2017-12-04 4:00,2.8,89,1.5,Winter,No Holiday,41
2017-12-04 5:00,2,83,2.7,Winter,No Holiday,82
2017-12-04 6:00,1.2,76,3.7,Winter,No Holiday,200
2017-12-04 7:00,0.2,68,3.4,Winter,No Holiday,498
2017-12-04 8:00,-0.8,69,3.5,Winter,No Holiday,937
2017-12-04 9:00,-1.5,47,4.2,Winter,No Holiday,509
2017-12-04 10:00,-1.1,40,4.5,Winter,No Holiday,311
2017-12-04 11:00,-0.5,41,4.1,Winter,No Holiday,379
2017-12-04 12:00,-0.3,38,4.8,Winter,No Holiday,393
2017-12-04 13:00,0,30,5.4,Winter,No Holiday,391
2017-12-04 14:00,0.1,27,4.5,Winter,No Holiday,338
2017-12-04 15:00,-0.1,25,5.8,Winter,No Holiday,341
2017-12-04 16:00,-0.2,23,4.7,Winter,No Holiday,375
2017-12-04 17:00,-1.3,26,5.3,Winter,No Holiday,515
2017-12-04 18:00,-2.1,29,3.9,Winter,No Holiday,807
2017-12-04 19:00,-2.9,32,3.2,Winter,No Holiday,568
2017-12-04 20:00,-3.6,38,3,Winter,No Holiday,398
2017-12-04 21:00,-4.6,43,4.5,Winter,No Holiday,397
2017-12-04 22:00,-5.3,45,2.5,Winter,No Holiday,353
2017-12-04 23:00,-5.8,44,2.4,Winter,No Holiday,248
2017-12-05 0:00,-6.1,42,2.6,Winter,No Holiday,216
2017-12-05 1:00,-6.5,41,2.8,Winter,No Holiday,198
2017-12-05 2:00,-6.8,41,2.5,Winter,No Holiday,124
2017-12-05 3:00,-6.9,39,2,Winter,No Holiday,62
2017-12-05 4:00,-7.2,34,3,Winter,No Holiday,42
2017-12-05 5:00,-7.4,33,2.6,Winter,No Holiday,82
2017-12-05 6:00,-7.4,34,3.2,Winter,No Holiday,172
2017-12-05 7:00,-7.5,33,2.2,Winter,No Holiday,381
2017-12-05 8:00,-8.1,36,1.6,Winter,No Holiday,812
2017-12-05 9:00,-7.6,31,1.3,Winter,No Holiday,462
2017-12-05 10:00,-5.5,26,2.8,Winter,No Holiday,269
2017-12-05 11:00,-3.9,25,0,Winter,No Holiday,334
2017-12-05 12:00,-2.3,25,0,Winter,No Holiday,321
2017-12-05 13:00,-1.6,27,0,Winter,No Holiday,325
2017-12-05 14:00,-1.1,28,0,Winter,No Holiday,334
2017-12-05 15:00,-0.7,28,0,Winter,No Holiday,353
2017-12-05 16:00,-0.5,30,0,Winter,No Holiday,435
2017-12-05 17:00,-1.6,35,0,Winter,No Holiday,529
2017-12-05 18:00,-2.6,40,0,Winter,No Holiday,789
2017-12-05 19:00,-3.2,45,0,Winter,No Holiday,597
2017-12-05 20:00,-3.5,46,0,Winter,No Holiday,418
2017-12-05 21:00,-3.7,47,0,Winter,No Holiday,415
2017-12-05 22:00,-2.8,49,0,Winter,No Holiday,393
2017-12-05 23:00,-2.5,59,0,Winter,No Holiday,244
2017-12-06 0:00,-2.8,77,0,Winter,No Holiday,145
2017-12-06 1:00,-3,79,0,Winter,No Holiday,144
2017-12-06 2:00,-3,79,0,Winter,No Holiday,117
2017-12-06 3:00,-3.2,78,0,Winter,No Holiday,78
2017-12-06 4:00,-3.4,75,0,Winter,No Holiday,58
2017-12-06 5:00,-3.6,76,0,Winter,No Holiday,87
2017-12-06 6:00,-3.7,76,0,Winter,No Holiday,142
2017-12-06 7:00,-4.2,77,0,Winter,No Holiday,379
2017-12-06 8:00,-4.2,78,0,Winter,No Holiday,802
2017-12-06 9:00,-3.3,70,0,Winter,No Holiday,440
2017-12-06 10:00,-0.9,64,0,Winter,No Holiday,307
2017-12-06 11:00,1.6,57,1.2,Winter,No Holiday,381
2017-12-06 12:00,2.4,52,0.9,Winter,No Holiday,405
2017-12-06 13:00,4.2,47,1.1,Winter,No Holiday,442
2017-12-06 14:00,5.5,34,1,Winter,No Holiday,416
2017-12-06 15:00,5.5,31,3.1,Winter,No Holiday,412
2017-12-06 16:00,5.3,37,2.9,Winter,No Holiday,496
2017-12-06 17:00,4.1,60,2.5,Winter,No Holiday,239
2017-12-06 18:00,1.7,90,1,Winter,No Holiday,204
2017-12-06 19:00,1.2,92,0.7,Winter,No Holiday,205
2017-12-06 20:00,1.2,94,0.6,Winter,No Holiday,190
2017-12-06 21:00,1.1,92,0.5,Winter,No Holiday,165
2017-12-06 22:00,1.3,92,0.6,Winter,No Holiday,222
2017-12-06 23:00,1.3,92,0.6,Winter,No Holiday,193
2017-12-07 0:00,1.4,92,0.5,Winter,No Holiday,198
2017-12-07 1:00,1.5,92,0.4,Winter,No Holiday,218
2017-12-07 2:00,1.4,92,0.7,Winter,No Holiday,149
2017-12-07 3:00,1.9,91,1.4,Winter,No Holiday,102
2017-12-07 4:00,1.6,92,0.7,Winter,No Holiday,62
2017-12-07 5:00,1.5,92,1.1,Winter,No Holiday,83
2017-12-07 6:00,1,93,0.5,Winter,No Holiday,137
2017-12-07 7:00,0.3,93,0.5,Winter,No Holiday,367
2017-12-07 8:00,-0.2,96,0.8,Winter,No Holiday,754
2017-12-07 9:00,0.1,91,0.8,Winter,No Holiday,415
2017-12-07 10:00,1.1,83,0.7,Winter,No Holiday,321
2017-12-07 11:00,2.3,69,1.7,Winter,No Holiday,333
2017-12-07 12:00,3.7,65,2.4,Winter,No Holiday,431
2017-12-07 13:00,4.1,37,3.1,Winter,No Holiday,394
2017-12-07 14:00,4.4,36,2.7,Winter,No Holiday,390
2017-12-07 15:00,4,35,3.1,Winter,No Holiday,430
2017-12-07 16:00,3.2,38,2.9,Winter,No Holiday,471
2017-12-07 17:00,2.1,50,2,Winter,No Holiday,552
2017-12-07 18:00,0.7,46,2.7,Winter,No Holiday,795
2017-12-07 19:00,-0.4,47,2.5,Winter,No Holiday,507
2017-12-07 20:00,-1.4,47,2.5,Winter,No Holiday,390
2017-12-07 21:00,-2.2,46,2.2,Winter,No Holiday,402
2017-12-07 22:00,-2.7,48,2.6,Winter,No Holiday,389
2017-12-07 23:00,-3.2,50,2.1,Winter,No Holiday,259
2017-12-08 0:00,-3.5,49,2.6,Winter,No Holiday,233
2017-12-08 1:00,-3.7,50,2.5,Winter,No Holiday,230
2017-12-08 2:00,-4.3,53,1,Winter,No Holiday,131
2017-12-08 3:00,-4.8,52,1.6,Winter,No Holiday,99
2017-12-08 4:00,-5.3,53,2.4,Winter,No Holiday,71
2017-12-08 5:00,-5.8,56,2,Winter,No Holiday,84
2017-12-08 6:00,-6,56,3.5,Winter,No Holiday,158
2017-12-08 7:00,-6.5,57,0.8,Winter,No Holiday,387
2017-12-08 8:00,-7,59,0.8,Winter,No Holiday,780
2017-12-08 9:00,-6.7,50,0.9,Winter,No Holiday,395
2017-12-08 10:00,-5.3,44,2.8,Winter,No Holiday,261
2017-12-08 11:00,-3.7,39,1.4,Winter,No Holiday,310
2017-12-08 12:00,-2,30,1.4,Winter,No Holiday,355
2017-12-08 13:00,-1.7,28,1.8,Winter,No Holiday,354
2017-12-08 14:00,-1.3,27,3.1,Winter,No Holiday,350
2017-12-08 15:00,-0.8,26,3.3,Winter,No Holiday,362
2017-12-08 16:00,-1.1,24,3.4,Winter,No Holiday,401
2017-12-08 17:00,-2.4,30,2.7,Winter,No Holiday,500
2017-12-08 18:00,-3.1,33,1.2,Winter,No Holiday,752
2017-12-08 19:00,-3.3,35,1.1,Winter,No Holiday,477
